Step,Average Fitness,Survival Time,Minerals,Gas,Depth,Size,Best Individual,Best Fitness
33,11287.44629,166.8857117,3349.5,1367.75,6.07,51.02,Q(B(MaMEMa)MaQ(Q(EMaESt)MaMaQ(Q(Q(MStEQ(Q(MStEMa)Q(StMStMa)Q(B(MaMMM)StStE)Q(StMaEE)))Q(StMStMa)StQ(StMaEE))MaStSt))B(MaMMaM)),15462.5
34,11019.21387,163.4571381,3277.5,1366,6.23,50.86,Q(MMaQ(Q(EMaESt)MaMaQ(Q(Q(MStEMa)Q(StMStMa)Q(B(MaMMM)MStE)Q(StMaEE))EStSt))B(MaMMaM)),14900
35,11649.05371,166.2142792,3044.5,1285.25,6.47,56.4,Q(B(MaMEE)MaQ(Q(EMaESt)MaMaQ(Q(Q(MQ(Q(MaMaB(EMaMM)M)Q(StMaMaSt)Q(EMStMa)Q(B(MaMaEE)B(EMaMM)StM))EMa)Q(StMStMa)Q(B(MaMMM)StStE)St)MaStSt))B(MaEMaM)),15600
36,11826.21387,169.2571411,3077.5,1348,6.56,58.99,Q(EMaQ(MMaMaQ(Q(Q(Q(StStStE)Q(MMMaB(EMMMa))Q(MMMSt)Q(B(MaMEM)StME))Q(StStStMa)Q(MStStE)Q(StMaEE))MaStSt))B(MaMMaM)),15550
37,13073.60742,184.1285706,3229.5,1406.5,6.92,65.06,Q(B(MaMMaMa)Q(StStStE)Q(Q(Q(EMaMSt)Q(B(MEMaMa)EStE)Q(Q(Q(StStB(MaEEMa)M)Q(EMME)Q(B(MaEME)MaEB(MaEME))Q(MMMaM))EMaQ(Q(StStStE)Q(Q(MaMaMMa)MMaB(EMMMa))Q(MQ(Q(MStEMa)Q(StMStMa)Q(B(MaMMM)StStE)Q(StMaEE))MSt)Q(B(MaMEM)StME)))Q(StStStE))MaB(EMMMa)Q(Q(Q(StStStE)Q(MMMaB(EMMMa))Q(MMMSt)E)MaMaM))E),15437.5
38,12360.60742,174.1035767,3075,1316.5,6.99,71.06,Q(EMaQ(MMaMaQ(Q(Q(Q(StStStE)Q(MMMaB(EMMMa))Q(MMStSt)Q(B(MaMEM)StME))Q(StStStMa)Q(MStStE)Q(StMaEMa))MaStSt))B(MaMMaM)),15412.5
39,12389.25,172.3999939,2945,1270.5,7.51,82.54,Q(B(MaMEMa)MaQ(Q(EEESt)MaMaQ(Q(EQ(StEStMa)Q(B(MaMMM)MStMa)Q(StMEQ(Q(EEMaSt)Q(MMaStM)Q(EMaEMa)Q(B(EMMaE)MMB(EMME)))))EStQ(Q(EQ(StMStMa)Q(MaStStE)Q(StMaEE))EStSt)))B(MaMMaM)),15937.5
40,12212.66113,170.8678589,2969.5,1269.75,7.54,83.42,Q(B(MaMEMa)MaQ(Q(EEESt)MaMaQ(Q(EStQ(B(MaMMM)MStMa)Q(StMEQ(B(MaMEM)StME)))EStQ(Q(EQ(StMStMa)Q(B(MaMMM)StStE)Q(StMaEE))EStSt)))Ma),16012.5
41,11617.33887,164.0571442,2919,1246.25,7.97,94.88,Q(B(MaMEMa)MaQ(Q(MaEESt)MaMaQ(Q(EQ(StEStMa)Q(B(MaMMM)MStMa)Q(StMEE))EStQ(Q(EQ(StMStMa)StQ(StMaEE))EStSt)))B(MaMMaM)),15500
42,12308.46387,171.4821472,2925,1276.5,8.35,93.28,Q(EMaQ(Q(EStESt)EMaQ(Q(Q(MStEMa)Q(StStStMa)Q(B(MaMMM)StStE)Q(EMaEE))MStSt))E),15485.71387
43,12636.91113,176.2678528,3003.5,1324.25,8.9,97.03,Q(MEQ(Q(Q(EMaMSt)Q(Q(StStStE)EQ(MStEMa)E)Q(MaStMaQ(Q(StStStE)Q(Q(Q(EMaQ(MMMMa)St)MaMaQ(Q(B(MMaMM)EStSt)Q(B(MaMaEM)B(MEEM)B(MMEE)Ma)Q(MB(MMaMaM)StM)Q(StStB(EMaME)E)))MMaB(EMMMa))Q(MMMB(MEMaE))Q(B(MaMEM)B(EMaEM)ME)))Q(StStStE))MaB(EMMMa)Q(Q(Q(StStStE)EQ(MMMSt)Q(B(MaMEM)StME))MaMaM))E),15625
44,12822.96387,174.8821411,2801.5,1242.5,9.2,102.22,Q(EMaQ(Q(EStESt)MMaQ(Q(Q(MStEMa)Q(StStStMa)StQ(EMaEE))MStSt))E),16160.71387
45,11941.75,168.125,2917,1302.5,9.51,100.97,Q(EMaQ(Q(EStESt)MMaQ(Q(Q(MStEMa)Q(StStStMa)StQ(EMaEE))MStSt))E),16160.71387
46,12304.60742,172.6035767,2942,1342.5,9.98,105.91,Q(EMaQ(Q(MStESt)EMaQ(Q(StQ(StStStMa)EQ(EMaEE))MStSt))B(EMMaM)),16075
47,12683.64258,174.1714325,2822.5,1274,10.38,109.25,Q(B(MMMaMa)EQ(Q(Q(StMaMSt)Q(Q(StEStE)EQ(MStEMa)E)Q(MaStMaQ(Q(StStStE)Q(Q(Q(EMaESt)MaMaQ(Q(Q(MEStMa)Q(MMStMa)Q(B(MaMMM)StStE)St)MaStSt))MMaB(EMMM))Q(MMMSt)Q(B(MaMEM)StME)))Q(StStStE))MaB(EMMMa)Q(Q(Q(StStEE)EQ(MMMSt)Q(B(MaMEM)StME))MaMaM))E),15625
48,13231.125,182.4250031,2950,1374.25,10.8,104.73,Q(EMaQ(Q(EStEQ(EEStM))MMaQ(Q(Q(MStEMa)Q(Q(MMMSt)StStMa)Q(MStEE)Q(EMaEE))MStSt))E),15875
